year,trips,trips_accuracy,trips_notes,sources,sources_notes
2017,40000000,"reported ~40M; interpolation gives ~30-37M, see notes","REPORTED (rounded) FIGURE with interpolation TENSION. France 3/France Info 10-year piece (15 Jul 2017) states explicitly ""a l'annee, le chiffre monte a 40 millions de deplacements"" (~100,000/day). Last full JCDecaux year. INTERPOLATION TENSION: the 324M 10-year cumulative (Jul 2017) minus 292M (Aug 2016) = 32M over ~11 months = ~34M/yr run-rate; projecting a full calendar 2017 gives ~30-37M depending on the H2 seasonal/wind-down assumption, somewhat BELOW the France 3 ~40M. The rounded 324M anchor and the H2-2017 handover slowdown make the endpoint noisy. Use ~37-40M; 40M is the outlet's stated figure, ~34-37M is the interpolation range.","Fr primary: France 3 Regions/France Info ""Dix ans de Velib, en cinq chiffres"", 15 Jul 2017 (~40M/yr, 100k/day), https://france3-regions.franceinfo.fr/paris-ile-de-france/paris/grand-paris/dix-ans-velib-cinq-chiffres-1298023.html ; Europe1 + France Bleu, 15 Jul 2017 (324M cumulative over 10 years, Visactu infographic), https://www.europe1.fr/societe/dix-ans-apres-son-lancement-le-velib-a-conquis-les-franciliens-3390029 and https://www.francebleu.fr/infos/transports/infographie-paris-le-velib-fete-ses-dix-ans-1500056273 ; Les Echos 3 Apr 2017 (contract context). English: Reuters via Gulf News (handover context), https://gulfnews.com/amp/story/world/europe/cyclists-furious-over-paris-bike-hire-chaos-1.2155021 ; Metropolitics (academic), https://metropolitics.org/Private-Infrastructure-and-Urban-Government-How-Velib-Veered-Off-Course-in.html","GOOD French sourcing (France 3 stated ~40M; Europe1/France Bleu gave the 324M 10-year cumulative). But note the tension: the rounded ~40M reported figure sits above the ~34-37M implied by differencing the 292M and 324M cumulative anchors. For a report, present as ~37-40M and flag the discrepancy."
2018,7119849,"EXACT, calendar year","EXACT REPORTED FIGURE. Ville de Paris ""Chiffres cles des deplacements parisiens"" infographic: ""Nombre de deplacements en Velib'"" = 7 119 849 for 2018 (total rentals >3 min), credited to SAVM. Smovengo-transition crisis year: ~82% collapse from ~40M in 2017 (stations not built, bikes unavailable during the operator changeover).","Fr primary (authoritative): Ville de Paris / SAVM ""Chiffres cles"" PDF, Nov 2023, https://cdn.paris.fr/paris/2023/11/22/chiffrescles_bilan_vf-dE0X.pdf ; also reprinted in ""Chiffres cles 2023"", https://cdn.paris.fr/paris/2024/12/17/chiffrescles_v2-GAPg.pdf ; L'Express 3 May 2018 (crisis, ~10,000/day) via fr.wikipedia. English: NPR 24 Oct 2018 (daily use crashed from ~100k to a few thousand), https://www.npr.org/2018/10/24/660112936/paris-bike-share-in-peril ; Reuters via Gulf News, https://gulfnews.com/amp/story/world/europe/cyclists-furious-over-paris-bike-hire-chaos-1.2155021","EXACT, from the official city/SAVM source, and reprinted identically in two separate official infographics. English sources (NPR, Reuters) corroborate the collapse qualitatively. Strongest early-period data point."
2019,23960081,"EXACT, calendar year","EXACT REPORTED FIGURE. Appears identically in TWO official Ville de Paris/SAVM infographics (""Chiffres cles"" Nov 2023 and ""Chiffres cles 2023"" Dec 2024): 23 960 081 rentals in 2019 (>3 min). Recovery year as Smovengo completed the network.","Fr primary (authoritative): Ville de Paris/SAVM ""Chiffres cles"" PDF, https://cdn.paris.fr/paris/2023/11/22/chiffrescles_bilan_vf-dE0X.pdf ; ""Chiffres cles 2023"" PDF, https://cdn.paris.fr/paris/2024/12/17/chiffrescles_v2-GAPg.pdf ; Grand Paris Metropole (23.6M, citing Bilan 2020), https://www.gpmetropole-infos.fr/en-fevrier-7-infos-sur-le-velo/ . English: English Wikipedia, https://en.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole ; Statista (2020 Velib trip index), https://www.statista.com/statistics/1215703/","EXACT, confirmed in two official documents; Grand Paris Metropole (~23.6M) matches after rounding. Well corroborated."
2020,36913868,EXACT per city; operator says ~40M,"EXACT REPORTED FIGURE (city). Ville de Paris/SAVM: 36 913 868 rentals in 2020 (+54% vs 2019). COVID cycling boom; single-day record 209,700 trips on 4 Sep 2020. DISCREPANCY: Smovengo's own site states ""pres de 40 millions de courses"" (~40M, 107,000/day). City/SAVM figure preferred; both listed.","Fr primary (authoritative): Ville de Paris/SAVM ""Chiffres cles"" PDF, https://cdn.paris.fr/paris/2023/11/22/chiffrescles_bilan_vf-dE0X.pdf ; Smovengo (~40M, 118M km), https://www.smovengo.fr/velib-revolution-usages/ ; Grand Paris Metropole (~37M, +54%), https://www.gpmetropole-infos.fr/en-fevrier-7-infos-sur-le-velo/ ; fr.wikipedia/Smovengo (209,700 record 4 Sep 2020), https://fr.wikipedia.org/wiki/Smovengo . English: Statista Velib trip index 2020, https://www.statista.com/statistics/1215703/","CONFLICT to flag: city/SAVM 36.9M vs operator Smovengo ~40M. The ~3M gap likely reflects free/uncounted lockdown trips or the >3-min filter on the city figure. Use 36,913,868 as primary with the operator figure noted."
2021,37232345,"EXACT, calendar year","EXACT REPORTED FIGURE. Ville de Paris/SAVM: 37 232 345 rentals in 2021. Back-check: official 2022 Bilan says 2022 was ""+13% vs 2021""; 37.23M x 1.13 = 42.07M = the reported 2022 figure. Internally consistent.","Fr primary (authoritative): Ville de Paris/SAVM ""Chiffres cles"" PDF, https://cdn.paris.fr/paris/2023/11/22/chiffrescles_bilan_vf-dE0X.pdf ; Ville de Paris ""Bilan 2022"" (+13% vs 2021), https://www.paris.fr/pages/le-bilan-des-deplacements-a-paris-en-2022-24072 . English: Statista ""Velib trips Q3 2021-Q3 2023"", https://www.statista.com/statistics/1658281/velib-paris-trips ; English Wikipedia, https://en.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole",EXACT and internally consistent with the +13% YoY statement. Statista offers a corroborating (paywalled) quarterly series.
2022,42090393,"EXACT, calendar year","EXACT REPORTED FIGURE. Ville de Paris ""Bilan des deplacements 2022"" / ""Chiffres cles"": ""pres de 42,1 millions de locations enregistrees en 2022, en hausse de 13%"" -> exact 42 090 393.","Fr primary (authoritative): Ville de Paris ""Bilan 2022"", https://www.paris.fr/pages/le-bilan-des-deplacements-a-paris-en-2022-24072 ; ""Chiffres cles"" PDF (42 090 393), https://cdn.paris.fr/paris/2023/11/22/chiffrescles_bilan_vf-dE0X.pdf . English: Statista ""Velib trips Q3 2021-Q3 2023"", https://www.statista.com/statistics/1658281/velib-paris-trips ; Fluctuo European coverage (Paris #1).","EXACT, appears in two official Ville de Paris documents. Strongly sourced."
2023,44667942,"EXACT, calendar year","EXACT REPORTED FIGURE. Ville de Paris ""Chiffres cles 2023"" infographic prints the 2018-2023 series with 2023 = 44 667 942 (>3 min, source SAVM). Narrative 2023 Bilan independently states ""plus de 44,6 millions de locations comptabilisees en 2023, en hausse de 6,1%"" - a new record. Fluctuo/Smovengo separately said Paris led Europe with >45M (rounded, consistent).","Fr primary (authoritative): Ville de Paris/SAVM ""Chiffres cles 2023"" PDF (44 667 942), https://cdn.paris.fr/paris/2024/12/17/chiffrescles_v2-GAPg.pdf ; Ville de Paris ""Bilan 2023"" narrative (>44,6M, +6,1%), https://www.paris.fr/pages/le-bilan-des-deplacements-a-paris-en-2023-27604 ; Smovengo relaying Fluctuo (>45M, Paris #1), https://www.smovengo.fr/rapport-fluctuo-mobilites-partagees-2023-600-millions-de-courses-en-europe-paris-toujours-en-tete/ . English: Fluctuo coverage; English Wikipedia, https://en.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole","EXACT. Precise integer from the official ""Chiffres cles 2023"" infographic, corroborated by the narrative Bilan (44.6M, +6.1%) and rounded Fluctuo >45M. Publication-solid."
2024,49300000,"reported: 49,3M city / 49,1M operator","REPORTED FIGURE. Ville de Paris ""Bilan 2024"": ""Locations des Velib' : 49,3 millions (+10,4%)"" - all-time record. MINOR DISCREPANCY: Agemob's Dec 2024 report gives 49,100,000 (28.7M electric + 20.4M mechanical). The ~0.2M gap is rounding / >3-min filter. Olympics (Jul-Aug 2024) boosted the summer.","Fr primary (authoritative): Ville de Paris ""Bilan 2024"" (49,3M, +10,4%), https://www.paris.fr/pages/le-bilan-des-deplacement-a-paris-en-2024-31371 ; Agemob ""Velib en chiffres - decembre 2024"" (49,1M; 28,7M VAE + 20,4M VM), https://agemob.com/wp-content/uploads/2025/01/Velib-en-Chiffres-decembre-2024.pdf ; Agemob news (49,3M, +10%), https://agemob.com/actualites/paris-confirme-sa-place-de-capitale-du-velo-des-chiffres-en-forte-hausse-pour-2024/ . English: English Wikipedia/Grokipedia (49.3M trips 2024), https://en.wikipedia.org/wiki/V%C3%A9lib'_M%C3%A9tropole","Two official-ish figures: city 49.3M, operator/Agemob 49.1M (difference ~0.4%). State which you use. A to-the-unit integer may appear in the full 2024 Bilan chapter PDF."
2025,47500000,"reported by operating agency, calendar year","REPORTED FIGURE (agency's own annual total). Agemob ""Velib en chiffres - decembre 2025"": ""Avec 47,5 millions de courses, plus de 935 000 usagers uniques et 146 millions de kilometres parcourus, l'annee 2025..."". First YoY DECLINE since the Smovengo takeover (from 49.1-49.3M in 2024), attributed partly to summer 2025 vandalism/fraud reducing fleet availability.","Fr primary (authoritative): Agemob ""Velib en chiffres - decembre 2025"" (47,5M, 935k users, 146M km), https://agemob.com/wp-content/uploads/2026/01/Velib-en-chiffres-decembre-2025-1.pdf ; Agemob monthly reports Jan-Dec 2025, https://agemob.com/donnees/ ; Agemob ""juillet 2025"" (vandalism/fraud context), https://agemob.com/wp-content/uploads/2025/08/Velib-en-chiffres-juillet-2025-Agemob.pdf . English: (none specific to the 2025 annual total located yet). Ville de Paris 2025 Bilan page: https://www.paris.fr/pages/comment-se-sont-deplaces-les-parisiens-en-2025-35425","EXACT-as-reported by the operating agency (its own summed annual total, 47.5M, rounded to 0.1M). Re-summing 12 monthly daily-average reads would ADD error (compounded rounding), so the agency figure is preferred. A to-the-unit integer may appear in the official Ville de Paris 2025 Bilan - worth checking. English quota not met for the annual figure."
2026,20010000,partial year (Jan-Jun); do NOT annualize naively,"PARTIAL YEAR (through June 2026 as of this research). Reported monthly courses from Agemob ""Velib en chiffres"": Jan ~2,714,000 (87,568/day x31); Feb ~2,676,000 (95,584/day x28); Mar ~3,527,000 (113,793/day x31); Apr ~3,750,000 (stated); May 3,464,590 (stated exact); Jun 3,878,294 (stated exact). H1 2026 sum ~= 20,010,000. 2026 is running BELOW 2025 (e.g. Jun 2026 129,276/day vs Jun 2025 161,372/day, -19.9%). Strong seasonality - do not x2 to annualize.","Fr primary (authoritative, monthly): Agemob ""Velib en chiffres"" Jan-Jun 2026 PDFs, index https://agemob.com/donnees/ . Specific: juin 2026 (3,878,294) https://agemob.com/wp-content/uploads/2026/07/Velib-en-chiffres-juin-2026.pdf ; mai 2026 (3,464,590) https://agemob.com/wp-content/uploads/2026/06/velib-en-chiffres-mai-2026-.pdf ; avril 2026 https://agemob.com/wp-content/uploads/2026/05/Velib-en-Chiffres-avril-2026.pdf ; mars 2026 https://agemob.com/wp-content/uploads/2026/04/Velib-en-chiffres-mars-2026.pdf ; fevrier 2026 https://agemob.com/wp-content/uploads/2026/03/Velib-en-Chiffres-fevrier-2026.pdf ; janvier 2026 https://agemob.com/wp-content/uploads/2026/02/Velib-en-chiffres-janvier-2026.pdf . English: none (too recent).",Highest-quality recent data: exact monthly courses from the operating agency. Use the H1 sum (~20.0M) labeled partial; full-year 2026 will appear in Agemob's Dec 2026 report. Tracking below 2025.
